City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
96,pasuquin,18.3328,120.6177,82.35,78,20,6.91,PH,1708486163
97,terralba,39.7192,8.6392,44.78,80,79,4.36,IT,1708486163
98,thompson,55.7435,-97.8558,-2.04,71,75,5.75,CA,1708486163
99,ushuaia,-54.8,-68.3,46.06,71,0,5.75,AR,1708486163
100,paciran,-6.8767,112.3761,85.82,73,6,6.24,ID,1708486164
101,mezhdurechenskiy,59.6,65.9333,-1.1,81,100,11.1,RU,1708486164
102,murun-kuren,49.6342,100.1625,-14.82,91,48,0.76,MN,1708486164
103,maragogi,-9.0122,-35.2225,79.52,86,66,7.36,BR,1708486164
104,noosa heads,-26.3833,153.15,86.34,75,98,10.47,AU,1708486164
105,crane,31.3974,-102.3501,67.01,26,0,11.32,US,1708486164
106,haiku-pauwela,20.9219,-156.3051,75.22,59,40,8.05,US,1708486164
107,fauske,67.2588,15.3918,37.44,87,100,7.76,NO,1708486165
108,longyearbyen,78.2186,15.6401,13.84,73,75,3.44,SJ,1708486165
109,shiqian,27.5225,108.2281,40.82,93,100,5.01,CN,1708486165
110,sitka,57.0531,-135.33,42.69,81,100,0.0,US,1708485997
111,hadibu,12.65,54.0333,74.77,80,20,3.96,YE,1708486165
112,kangding,30.0513,101.9603,51.55,44,22,2.77,CN,1708486165
113,arsin,40.9496,39.9276,44.13,87,75,4.61,TR,1708486166
114,ortigueira,-24.2083,-50.9494,61.83,98,37,2.71,BR,1708486166
115,oranjemund,-28.55,16.4333,62.06,97,43,9.71,NA,1708486166
116,eirunepe,-6.6603,-69.8736,75.38,98,100,2.42,BR,1708486166
117,aasiaat,68.7098,-52.8699,0.73,97,64,6.62,GL,1708486166
118,puerto natales,-51.7236,-72.4875,45.18,90,8,0.83,CL,1708486166
119,sochi,43.6,39.7303,39.29,72,21,5.3,RU,1708485877
120,puerto deseado,-47.7503,-65.8938,53.35,83,100,7.49,AR,1708486166
121,fale old settlement,-9.3852,-171.2468,83.26,75,90,6.11,TK,1708486167
122,kpandu,6.9954,0.2931,80.65,78,32,5.68,GH,1708486167
123,cidreira,-30.1811,-50.2056,72.07,76,27,6.73,BR,1708486167
124,progreso,21.2833,-89.6667,69.91,77,0,10.16,MX,1708486167
125,namibe,-15.1961,12.1522,77.43,59,91,2.86,AO,1708486167
126,muisne,0.6,-80.0333,76.5,94,100,6.11,EC,1708486167
127,beichengqu,40.4394,113.1536,12.27,50,100,16.33,CN,1708486167
128,port elizabeth,-33.918,25.5701,66.31,91,40,13.8,ZA,1708486168
129,washim,20.1,77.15,73.83,32,6,11.72,IN,1708486168
130,harper,4.375,-7.7169,81.0,87,93,6.58,LR,1708486168
131,klyuchi,52.2667,79.1667,-17.34,98,15,2.8,RU,1708486168
132,katabu,-4.9333,122.5167,87.17,68,23,5.32,ID,1708486168
133,stanley,54.868,-1.6985,39.79,87,20,4.61,GB,1708486168
134,mejit,10.2753,170.8646,80.62,81,57,19.06,MH,1708486168
135,scottburgh,-30.2867,30.7532,72.28,91,15,9.82,ZA,1708486168
136,el nido,11.1858,119.3956,81.21,72,57,18.34,PH,1708486169
137,bulolo,-7.2,146.65,75.7,93,97,3.06,PG,1708486169
138,jiamusi,46.8333,130.35,6.78,68,1,10.56,CN,1708486169
139,katsuura,35.1333,140.3,46.42,92,100,13.33,JP,1708486169
140,weno,7.4515,151.8468,87.75,55,40,12.66,FM,1708486169
141,margate,51.3813,1.3862,49.89,83,100,5.99,GB,1708485985
142,geneina,13.45,22.45,68.54,14,8,10.27,SD,1708486169
143,horta,38.5333,-28.6333,62.02,89,99,15.01,PT,1708486170
144,tura,25.5198,90.2201,74.12,53,0,2.28,IN,1708486170
145,whitehorse,60.7161,-135.0538,34.57,69,40,17.27,CA,1708486170
146,saint-philippe,-21.3585,55.7679,76.59,82,100,11.45,RE,1708486170
